alpha,beta,eta,xe_cap,n_cap,resfrac,lv_frac
2.23364549057226e-09,2930867849.4144077,7.819598182543421e-10,2500274.699812352,205133826308744.84,0.9,1.0
1.9218185794040376e-09,3505257642.403263,7.812421773338814e-10,339528.8960932841,8706020878304863.0,0.9,1.0
1.1459289313260844e-09,3271280021.792982,7.654547490162129e-10,595808.5961276906,405961161048429.6,0.9,1.0
2.6075659192068293e-10,3475184841.1984515,7.687368742059413e-10,2616853.090178119,190102453198703.62,0.9,1.0
8.464333711327228e-10,2293848149.3323545,7.736820995265111e-10,4761720.962402179,250811568604523.62,0.9,1.0
9.286379106741773e-09,3197116510.9398007,7.613935123815999e-10,2578203.9999422133,219304855566437.2,0.9,1.0
1.0466666658732934e-09,2854153125.1033616,7.805269907953647e-10,1446201.2767604524,175418934874508.1,0.9,1.0
1.0962392784073339e-09,2997236068.8399367,7.872796120623634e-10,772983.0528517608,2113705944064574.2,0.9,1.0
1.830876618568549e-09,2020164938.0601122,7.764013083802983e-10,598799.8505632238,8692991511139556.0,0.9,1.0
1.843280780508238e-09,3440880519.474305,7.876562270506934e-10,429278.1197180275,246584472144873.3,0.9,1.0
1.4632061413369531e-09,2849448152.2053556,7.716603186906844e-10,807278.8001166115,4544383960336024.0,0.9,1.0
6.251677564039899e-10,2559704366.9764466,7.762808824947474e-10,514501.1353555803,4021554526690294.5,0.9,1.0
9.929408998173066e-10,3305838144.420434,7.60165663513708e-10,5286791.008266102,2592475660475161.0,0.9,1.0
2.939677572286377e-09,3377498898.622368,7.622213395520227e-10,1090683.1225224654,170505392602692.88,0.9,1.0
1.992411452513457e-09,3487772563.5611796,7.699269407455794e-10,393856.0539903472,418759471890062.56,0.9,1.0
3.5802627779454717e-09,2550896030.272161,7.791267241406564e-10,6773593.248166708,879892974968900.2,0.9,1.0
2.0346551289064764e-09,2677440122.697438,7.828235514585069e-10,2197433.7797028613,3482846706526886.5,0.9,1.0
1.6281292404136134e-08,2539804597.466312,7.728262305507565e-10,345246.02746329625,164354974751113.06,0.9,1.0
1.6831162789597143e-09,2850496324.7670665,7.694306794322897e-10,1831707.133447235,6533305220227736.0,0.9,1.0
1.095658125628802e-09,2252473064.592832,7.826665341562914e-10,696942.980394894,142547570440274.56,0.9,1.0
9.066755807109326e-10,2749121478.2077317,7.878909295702772e-10,5154429.089738734,1848449172098862.5,0.9,1.0
1.892932209128698e-09,3157256447.931586,7.65597101766581e-10,6899831.702157311,1198628179990117.0,0.9,1.0
9.758522590641684e-10,2836168926.701116,7.668380548762583e-10,1382488.9951742077,4325432427964557.0,0.9,1.0
2.53190371339683e-10,3172758971.944383,7.666632343141218e-10,478407.5787924038,473402277340418.56,0.9,1.0
1.4177977620633056e-09,3202025428.407269,7.75563718652301e-10,3585324.248220657,533653306637962.06,0.9,1.0
1.5647132444489814e-09,2163247689.0048885,7.690263492945031e-10,845786.4857452598,118515156600430.94,0.9,1.0
1.6522245196890405e-09,4231621056.2426434,7.615443625374996e-10,827884.3946381074,6554382343546287.0,0.9,1.0
1.0655828882186653e-09,2789250889.830058,7.746835828083269e-10,9516465.580443371,304867088345806.2,0.9,1.0
3.4901721149033937e-09,3375966516.343387,7.67129126319772e-10,3911330.575256643,543959123656853.2,0.9,1.0
4.183710179377434e-09,3696162876.7459517,7.760732405222427e-10,431951.1703899507,4683871708118720.0,0.9,1.0
7.995379870761563e-10,2716851135.198614,7.612232542466429e-10,2434105.5959005384,2265315641394887.5,0.9,1.0
1.5949361576033262e-09,2817230351.583729,7.667948732559381e-10,2936021.189640504,223219873669015.78,0.9,1.0
8.397939270633383e-10,3774967202.50877,7.88101899662102e-10,508488.8288577572,480986295150138.9,0.9,1.0
1.2387295340824778e-09,3278060899.2669826,7.797995213810254e-10,5319040.538984631,1289441439307419.0,0.9,1.0
5.221016066205363e-10,3092316929.266152,7.627930830341769e-10,7011705.015838699,6321732490144014.0,0.9,1.0
5.861213830057158e-10,3595363628.05682,7.704762872383798e-10,3880909.525737636,6226163482363466.0,0.9,1.0
1.884290485034293e-09,3173224104.748488,7.792609493846285e-10,422872.99095448863,210502582474838.62,0.9,1.0
1.8530471967257061e-09,3423700716.2883196,7.602759115484988e-10,448959.6536367714,2123261760236045.2,0.9,1.0
5.750854149256127e-09,3236916460.4558935,7.79558837785078e-10,686126.1381347963,2656797431288614.5,0.9,1.0
9.4329204641718e-10,2434785973.439735,7.823947421535407e-10,2981599.785971811,4993980255757065.0,0.9,1.0
2.7965207621420457e-09,3948396491.326974,7.628102430348428e-10,1126091.5629037183,339160084943861.4,0.9,1.0
2.9080513063817932e-09,2880202745.9030952,7.789341587799178e-10,4922853.994079367,1012218303522876.9,0.9,1.0
1.320088203114254e-09,4360084583.294809,7.658572896339413e-10,3834230.1058881353,364371772178466.8,0.9,1.0
1.6315260760536702e-09,2931364091.451092,7.653133203822114e-10,8141189.7385965595,8088298191148197.0,0.9,1.0
1.3581919885480757e-09,3357000247.0460463,7.60463698495866e-10,7806886.112401028,718403263658166.2,0.9,1.0
1.1594748431619882e-09,3388524897.451804,7.715529318580577e-10,5980052.644823049,430372001914325.6,0.9,1.0
1.8375032810708602e-09,2377130610.644006,7.880846432248234e-10,3499811.831628219,1380773171791567.8,0.9,1.0
1.859028795662656e-09,2595531554.3048196,7.897016155031279e-10,513010.2268543564,1088076184591763.9,0.9,1.0
2.029253053332695e-09,3280392263.1841173,7.80910472229858e-10,3578706.8614858277,523579100229929.44,0.9,1.0
2.961669466513806e-09,2698047813.7577357,7.843034018403753e-10,6318419.8076983625,6706271090367476.0,0.9,1.0
